ME ID	Canonical form
DCM00276	iemand zal bestand tegen iets zijn
DCM00278	beter benijd dan beklaagd
DCM00279	beter een goede buur dan een verre vriend
DCM00280	beter een half ei dan een lege dop
DCM00281	beter éen vogel in de hand dan tien in de lucht
DCM00282	beter hard geblazen dan de mond gebrand
DCM00283	beter hard geblazen dan de mond verbrand
DCM00284	beter te trouwen dan te branden
DCM00285	beter ten halve gekeerd dan ten hele gedwaald
DCM00286	beuker van een jongen
DCM00288	iemand zal bewondering voor iemand voelen
DCM00289	bezint eer ge begint
DCM00290	bezint eer gij begint
DCM00291	iemand zal bezit van iets nemen
DCM00292	iemand zal bezwaar tegen iets maken
DCM00293	iemand zal bij de duivel te biecht gaan
DCM00294	iemand zal bij de hand zijn
DCM00295	iemand zal bij de pink zijn
DCM00296	iemand zal bij de pinken zijn
DCM00297	bij de roes
DCM00298	iemand zal bij de tijd zijn
DCM00299	bij de vleet
DCM00300	iemand zal bij de weg blijven
DCM00301	iemand zal bij der hand zijn
DCM00302	bij dit en bij dat
DCM00303	bij gebrek van brood zal men korstjes van pasteien eten
DCM00304	iemand zal bij het hek zijn
DCM00305	bij het kantje af
DCM00306	bij het kantje langs
DCM00307	iemand zal bij het scheiden van de markt de kooplui leren kennen
DCM00308	bij het walletje langs
DCM00309	bij hoog en bij laag
DCM00310	iemand zal bij hoog en laag zweren
DCM00311	iemand zal bij iemand in de kas staan
DCM00312	iemand zal bij iemand in het gevlij komen
DCM00313	iemand zal bij iemand in het krijt staan
DCM00314	iets zal bij iemand in trek zijn
DCM00315	iemand zal bij iemand verhaal halen
DCM00316	iemand zal bij iemand zijn hart ophalen
DCM00317	iemand zal bij iets stil staan
DCM00318	iemand zal bij kris en bij kras zweren
DCM00319	iemand zal bij kris en kras zweren
DCM00320	bij lange na
DCM00321	bij leven en welzijn
DCM00322	bij nacht zullen alle katten grauw zijn
DCM00323	bij nacht en ontij
DCM00324	bij nacht en ontijd
DCM00325	bij nader inzien
DCM00326	bij slot van rekening
DCM00327	bij tulten
DCM00328	iemand zal iemand bij verstek veroordelen
DCM00329	iemand zal bij zijn gatje af zijn
DCM00330	iemand zal bij zijn positieven zijn
DCM00331	iemand zal bij zinnen komen
DCM00332	iemand zal bijdraaien
DCM00333	binnen de kortste keren 
DCM00334	iemand zal binnen zijn
DCM00336	bitter in de mond zal het hart gezond maken
DCM00338	blaffende honden zullen 0niet bijten
DCM00339	iemand zal blauw aanlopen
DCM00340	iemand zal blauw bloed hebben
DCM00341	blauwe boon
DCM00342	blauwe maandag
DCM00343	blauwe scheen
DCM00345	iets zal blijven hangen
DCM00346	iemand zal blijven zitten
DCM00347	blikken dominee
DCM00348	iemand zal blikken op iemand werpen
DCM00349	iemand zal bloed ruiken
DCM00350	iemand zal blokken
DCM00351	blonde miep
DCM00352	iemand zal bluf slaan
DCM00353	iemand zal blut zijn
DCM00354	iemand zal bluts zijn
DCM00355	iemand zal boe noch ba zeggen
DCM00358	iemand zal bombarie maken
DCM00359	iemand zal bombarie slaan
DCM00361	boon in een brouwketel
DCM00362	bos hout voor de deur
DCM00363	iemand zal boter aan de galg smeren
DCM00364	Iets zal boter aan de galg zijn
DCM00365	boter bij de vis
DCM00366	iemand zal boter op zijn hoofd hebben
DCM00367	boter tot de boom
DCM00369	botertje tot de boom
DCM00370	iemand zal botje bij botje leggen
DCM00371	iemand zal botvangen
DCM00372	iemand zal iets botvieren
DCM00373	iemand zal boven aarde staan
DCM00374	iemand zal boven de wet staan
DCM00375	iets zal boven iemands pet gaan
DCM00376	iets zal boven iemands petje gaan
